Year,Brand,Model,kms_droved,Fuel_type,vehicle_type,No.Of_Owners,Price
2017,Honda,WR-V,"87,880",Diesel,Manual,2nd Owner,"₹6,84,000"
2017,Honda,WR-V,"60,604",Diesel,Manual,2nd Owner,"₹7,11,000"
2017,Maruti,IGNIS,"6,617",Petrol,Manual,1st Owner,"₹5,29,000"
2018,Hyundai,Creta,"34,004",Petrol,Automatic,2nd Owner,
2021,Renault,Kiger,"6,828",Petrol,,1st Owner,
2017,Hyundai,Creta,"27,180",Petrol,Automatic,1st Owner,
2022,Hyundai,AURA,"12,664",Petrol + CNG,Manual,1st Owner,
2016,Maruti,Wagon,"40,702",Petrol + CNG,Automatic,2nd Owner,"₹4,12,000"
2020,Hyundai,GRAND,"3,309",Petrol,Manual,1st Owner,"₹6,84,000"
2019,MG,HECTOR,"33,894",Petrol,Automatic,2nd Owner,
2017,Honda,Jazz,"15,621",Petrol,Manual,1st Owner,"₹5,79,000"
2017,Maruti,IGNIS,"21,983",Petrol,Automatic,1st Owner,"₹5,14,000"
2018,Maruti,Ciaz,"19,906",Petrol,Manual,1st Owner,"₹7,14,000"
2019,Ford,New,"15,928",Petrol,Manual,1st Owner,"₹6,04,000"
2018,Maruti,Wagon,"68,145",Petrol + CNG,Manual,1st Owner,"₹4,87,000"
2017,Maruti,Wagon,"37,469",Petrol,Manual,1st Owner,"₹4,13,000"
2018,Ford,Ecosport,"56,104",Diesel,Manual,1st Owner,
2019,Hyundai,Creta,"21,253",Petrol,Automatic,3rd Owner,
2018,Maruti,Celerio,"27,234",Petrol,Automatic,1st Owner,"₹4,68,000"
2018,Maruti,Vitara,"27,728",Diesel,Manual,1st Owner,
2015,Honda,City,"36,456",Petrol,Manual,2nd Owner,"₹6,59,400"
2014,Maruti,Wagon,"50,657",Petrol,Manual,1st Owner,"₹3,57,000"
2019,Tata,NEXON,"16,708",Diesel,Manual,2nd Owner,
2018,Maruti,Vitara,"76,130",Diesel,Manual,2nd Owner,
2020,Toyota,URBAN,"10,051",Petrol,,1st Owner,
2021,Maruti,New,"24,347",Petrol + CNG,Manual,2nd Owner,"₹6,26,000"
2021,Tata,Safari,"12,120",Diesel,Manual,1st Owner,
2016,Mahindra,XUV500,"50,100",Diesel,Automatic,2nd Owner,
2015,Hyundai,Creta,"55,519",Petrol,Manual,1st Owner,
2019,Honda,City,"14,619",Petrol,Manual,2nd Owner,
2018,Ford,Ecosport,"83,348",Diesel,Manual,1st Owner,"₹7,94,000"
2020,Maruti,Swift,"76,183",Petrol,Automatic,1st Owner,"₹7,64,000"
2017,Maruti,Dzire,"42,688",Diesel,Manual,1st Owner,"₹7,06,000"
2020,Maruti,Dzire,"7,295",Petrol,Automatic,1st Owner,
2014,Maruti,Swift,"55,095",Petrol,Manual,1st Owner,"₹4,88,000"
2018,Maruti,Celerio,"81,565",Petrol + CNG,Manual,1st Owner,"₹4,66,000"
2021,Mahindra,XUV,"9,814",Petrol,,1st Owner,
2016,Maruti,Ciaz,"91,147",Diesel,Manual,2nd Owner,"₹6,09,000"
2012,Maruti,Swift,"74,741",Petrol,Manual,1st Owner,"₹3,57,000"
2016,Honda,Amaze,"32,931",Petrol,Manual,1st Owner,"₹4,73,000"
2016,Maruti,Wagon,"14,321",Petrol,Automatic,1st Owner,"₹4,16,000"
2017,Jeep,Compass,"51,823",Diesel,Manual,1st Owner,
2017,Maruti,Wagon,"39,375",Petrol,Manual,1st Owner,"₹4,37,000"
2018,Hyundai,Creta,"34,127",Petrol,Manual,1st Owner,
2018,Honda,Jazz,"15,965",Petrol,Manual,1st Owner,"₹6,10,000"
2013,Maruti,Swift,"46,227",Petrol,Manual,1st Owner,"₹4,36,000"
2021,Datsun,Redi,"1,733",Petrol,Automatic,1st Owner,"₹4,68,000"
2016,Hyundai,Elite,"38,778",Petrol,Manual,1st Owner,"₹5,84,000"
2019,Maruti,Celerio,"50,700",Petrol + CNG,Manual,2nd Owner,"₹5,11,000"
2021,Maruti,Alto,"9,718",Petrol,Manual,1st Owner,"₹3,91,000"
2018,Maruti,Ciaz,"81,038",Petrol,Manual,2nd Owner,"₹7,72,000"
2017,Hyundai,Creta,"47,978",Petrol,Manual,1st Owner,
2018,Honda,City,"57,768",Petrol,Automatic,1st Owner,
2019,Maruti,Wagon,"27,791",Petrol + CNG,Manual,1st Owner,"₹5,04,000"
2020,KIA,SONET,"12,049",Petrol,,1st Owner,
2020,Skoda,Rapid,"47,223",Petrol,Manual,1st Owner,
2018,Maruti,Celerio,"72,477",Petrol + CNG,Manual,1st Owner,"₹4,74,000"
2015,Maruti,Ciaz,"89,902",Petrol,Manual,1st Owner,"₹5,80,000"
2019,Maruti,Alto,"11,597",Petrol,Automatic,1st Owner,"₹4,41,000"
2018,Hyundai,Verna,"66,831",Diesel,Automatic,2nd Owner,
2017,Maruti,Wagon,"34,769",Petrol + CNG,Manual,1st Owner,"₹4,20,000"
2020,Maruti,S,"53,393",Petrol + CNG,Manual,2nd Owner,"₹5,13,000"
2017,Hyundai,Grand,"29,915",Petrol,Automatic,1st Owner,"₹5,57,000"
2016,Honda,Jazz,"53,127",Petrol,Manual,1st Owner,"₹4,97,000"
2018,Maruti,Wagon,"17,067",Petrol + CNG,Manual,1st Owner,"₹4,96,000"
2018,Maruti,Wagon,"53,840",Petrol + CNG,Manual,1st Owner,"₹4,57,000"
2017,Maruti,Baleno,"75,854",Petrol,,1st Owner,"₹6,05,000"
2015,Hyundai,Grand,"38,372",Petrol,Manual,2nd Owner,"₹3,94,000"
2019,Hyundai,Elite,"14,449",Petrol,Automatic,1st Owner,
2018,Maruti,Dzire,"51,691",Diesel,Automatic,1st Owner,"₹7,50,000"
2013,Maruti,Wagon,"82,740",Petrol + CNG,Manual,2nd Owner,"₹3,22,000"
2022,Maruti,Celerio,"1,793",Petrol + CNG,Manual,1st Owner,"₹6,69,700"
2016,Hyundai,Xcent,"58,481",Petrol,Manual,1st Owner,"₹5,15,000"
2019,KIA,SELTOS,"12,554",Petrol,Manual,1st Owner,
2016,Maruti,Ciaz,"60,705",Petrol,Automatic,1st Owner,"₹6,24,000"
2020,Hyundai,Creta,"59,605",Diesel,Automatic,1st Owner,
2013,Maruti,Swift,"68,940",Petrol,Manual,1st Owner,"₹4,28,000"
2018,Maruti,IGNIS,"4,975",Petrol,Manual,2nd Owner,"₹5,14,000"
2021,Maruti,New,"15,194",Petrol + CNG,Manual,1st Owner,"₹6,76,000"
2019,Maruti,New,"4,096",Petrol,Manual,1st Owner,"₹5,56,000"
2018,Maruti,Dzire,"32,621",Petrol,Manual,1st Owner,"₹6,70,000"
2016,Maruti,Swift,"81,517",Petrol,Manual,1st Owner,"₹4,97,000"
2020,Honda,City,"18,665",Petrol,Automatic,1st Owner,
2015,Honda,Jazz,"42,999",Petrol,Automatic,1st Owner,"₹5,50,000"
2016,Maruti,Wagon,"27,435",Petrol,Manual,1st Owner,"₹4,11,000"
2017,Maruti,Baleno,"23,551",Petrol,,1st Owner,"₹6,21,000"
2017,Honda,City,"88,451",Petrol,Automatic,1st Owner,
2018,Hyundai,Creta,"71,983",Diesel,Automatic,2nd Owner,
2018,Maruti,Celerio,"52,509",Petrol + CNG,Manual,1st Owner,"₹5,24,000"
2018,Hyundai,GRAND,"39,732",Petrol + CNG,,1st Owner,"₹5,26,000"
2016,Maruti,Ciaz,"64,010",Diesel,Manual,1st Owner,"₹7,25,000"
2018,Honda,City,"34,412",Petrol,Automatic,1st Owner,
2018,Hyundai,Grand,"18,745",Petrol,Automatic,1st Owner,"₹6,36,000"
2017,Maruti,Baleno,"71,697",Petrol,,1st Owner,"₹5,98,000"
2018,Maruti,Dzire,"52,228",Diesel,Manual,1st Owner,"₹7,42,000"
2020,Hyundai,Creta,"12,494",Petrol,,1st Owner,
2019,Maruti,Vitara,"45,213",Diesel,Manual,1st Owner,
2019,MG,HECTOR,"29,646",Petrol,Automatic,1st Owner,
2013,Maruti,Swift,"37,591",Petrol,Manual,1st Owner,"₹3,97,000"
2020,Maruti,S,"16,653",Petrol + CNG,Manual,1st Owner,"₹4,77,000"
2018,Maruti,Wagon,"51,092",Petrol + CNG,Manual,1st Owner,"₹4,97,000"
2019,Honda,Civic,"24,463",Petrol,Automatic,1st Owner,
2020,KIA,SELTOS,"26,188",Diesel,Manual,1st Owner,
2019,Hyundai,VENUE,"16,049",Petrol,Manual,1st Owner,
2021,Maruti,Dzire,"2,680",Petrol,Automatic,1st Owner,"₹7,98,000"
2016,Maruti,Alto,"62,922",Petrol + CNG,Manual,1st Owner,"₹3,37,000"
2020,Toyota,URBAN,"15,821",Petrol,,2nd Owner,
2014,Maruti,Wagon,"33,025",Petrol + CNG,Manual,1st Owner,"₹3,85,000"
2019,Maruti,Dzire,"11,522",Petrol,Manual,1st Owner,"₹6,98,000"
2018,Hyundai,Creta,"21,198",Petrol,Automatic,2nd Owner,
2017,Hyundai,Elite,"38,013",Petrol,Manual,1st Owner,"₹6,50,000"
2018,Toyota,Corolla,"19,123",Petrol,Manual,1st Owner,
2021,Tata,ALTROZ,"26,322",Diesel,,1st Owner,
2022,Hyundai,AURA,"9,259",Petrol + CNG,Manual,1st Owner,
2018,Honda,WR-V,"13,168",Petrol,Manual,1st Owner,
2014,Hyundai,Elite,"71,895",Petrol,Manual,3rd Owner,"₹4,89,000"
2018,Honda,WR-V,"13,333",Petrol,Manual,1st Owner,"₹7,91,000"
2018,Maruti,Baleno,"12,330",Petrol,,1st Owner,"₹6,04,000"
2018,Hyundai,Tucson,"33,304",Petrol,Automatic,2nd Owner,
2017,Hyundai,Creta,"86,508",Diesel,Automatic,1st Owner,
2012,Maruti,Swift,"45,559",Petrol,Manual,1st Owner,"₹3,94,000"
2019,Hyundai,VENUE,"10,645",Petrol,Manual,1st Owner,
2020,Tata,ALTROZ,"14,774",Petrol,Manual,1st Owner,
2014,Hyundai,i20,"37,592",Petrol,Manual,1st Owner,"₹5,07,000"
2016,Hyundai,Grand,"64,681",Petrol,Manual,1st Owner,"₹4,31,000"
2014,Maruti,Wagon,"23,396",Petrol + CNG,Manual,1st Owner,"₹3,91,000"
2013,Honda,Amaze,"72,998",Petrol,Manual,1st Owner,"₹4,05,000"
2018,Honda,Jazz,"70,315",Diesel,Manual,2nd Owner,"₹6,30,000"
2017,Ford,Ecosport,"53,165",Petrol,Automatic,2nd Owner,"₹6,57,000"
2018,Toyota,Corolla,"53,788",Petrol,Manual,1st Owner,
2020,Hyundai,NEW,"32,699",Petrol,Manual,1st Owner,"₹5,12,000"
2021,Maruti,New,"14,095",Petrol + CNG,Manual,2nd Owner,"₹6,87,000"
2019,Hyundai,NEW,"6,335",Petrol,Automatic,1st Owner,"₹5,89,000"
2018,Hyundai,Grand,"17,198",Petrol,Automatic,2nd Owner,"₹6,00,000"
2019,Hyundai,Verna,"27,105",Petrol,Automatic,1st Owner,
2019,Maruti,Alto,"91,485",Petrol + CNG,Manual,1st Owner,"₹3,46,000"
2021,Honda,WR-V,"3,427",Petrol,Manual,1st Owner,
2016,Maruti,Baleno,"66,765",Diesel,Manual,2nd Owner,"₹5,96,000"
2020,Hyundai,NEW,"13,092",Petrol,Automatic,1st Owner,"₹5,74,000"
2018,Maruti,Wagon,"16,283",Petrol + CNG,Manual,1st Owner,"₹5,21,000"
2018,Maruti,Wagon,"55,714",Petrol + CNG,Manual,2nd Owner,"₹4,75,000"
2017,Maruti,Wagon,"11,549",Petrol,Automatic,1st Owner,"₹4,87,000"
2021,Skoda,Rapid,"4,384",Petrol,Automatic,1st Owner,
2021,Toyota,Glanza,"20,314",Petrol,Manual,1st Owner,"₹7,45,000"
2022,Renault,Duster,"9,871",Petrol,Automatic,1st Owner,
2016,Maruti,Wagon,"81,201",Petrol + CNG,Manual,2nd Owner,"₹3,77,000"
2018,Maruti,Alto,"17,888",Petrol,Manual,1st Owner,"₹3,84,000"
2019,Hyundai,Verna,"36,570",Petrol,Manual,1st Owner,
2017,Hyundai,Creta,"74,674",Petrol,Automatic,1st Owner,
2017,Maruti,IGNIS,"6,511",Petrol,Automatic,2nd Owner,"₹5,18,000"
2021,Maruti,Dzire,"10,804",Petrol,Automatic,1st Owner,
2022,Honda,City,"4,940",Petrol,Manual,1st Owner,
2017,Maruti,Dzire,"32,005",Petrol,Automatic,1st Owner,"₹6,83,000"
2021,Maruti,Dzire,"2,246",Petrol,Manual,1st Owner,
2018,Maruti,Baleno,"22,889",Petrol,,1st Owner,"₹6,62,000"
2017,Hyundai,Elite,"16,965",Petrol,Manual,1st Owner,"₹6,38,000"
2022,Maruti,Ciaz,220,Petrol,Automatic,1st Owner,
2020,Hyundai,GRAND,"10,826",Petrol,Manual,2nd Owner,"₹6,22,000"
2017,Jeep,Compass,"63,497",Diesel,Manual,2nd Owner,
2021,Honda,City,"1,444",Petrol,Manual,1st Owner,
2013,Honda,Amaze,"64,911",Petrol,Manual,2nd Owner,"₹3,85,000"
2020,Maruti,New,"35,592",Petrol + CNG,Manual,1st Owner,"₹6,10,000"
2019,Hyundai,NEW,"19,020",Petrol + CNG,,1st Owner,"₹5,54,000"
2021,Hyundai,VENUE,"16,083",Petrol,Manual,1st Owner,
2021,Hyundai,VENUE,"9,646",Petrol,Manual,1st Owner,
2016,Toyota,Corolla,"36,175",Petrol,Manual,1st Owner,
2019,Hyundai,Verna,"27,612",Petrol,Automatic,1st Owner,
2017,Maruti,Baleno,"31,239",Petrol,,1st Owner,"₹6,00,000"
2021,Maruti,New,"29,333",Petrol + CNG,Manual,1st Owner,"₹6,56,000"
2020,Maruti,Baleno,"6,307",Petrol,,1st Owner,"₹7,82,000"
2016,Maruti,Alto,"34,370",Petrol,Manual,2nd Owner,"₹2,81,000"
2021,Maruti,New,"13,084",Petrol + CNG,Manual,1st Owner,"₹6,87,000"
2014,Maruti,Wagon,"74,762",Petrol + CNG,Manual,1st Owner,"₹3,54,000"
2017,Maruti,Wagon,"36,847",Petrol + CNG,Manual,2nd Owner,"₹4,26,000"
2021,Honda,City,"3,252",Petrol,Manual,1st Owner,
2017,Maruti,Ciaz,"95,205",Diesel,Manual,1st Owner,"₹7,01,000"
2022,Honda,City,"8,145",Petrol,Automatic,1st Owner,
2015,Maruti,Ciaz,"81,604",Petrol,Manual,1st Owner,"₹5,50,000"
2018,Maruti,Celerio,"40,479",Petrol + CNG,Manual,1st Owner,"₹5,42,000"
2017,Maruti,Wagon,"57,721",Petrol + CNG,Manual,1st Owner,"₹4,48,000"
2021,Maruti,S,"15,273",Petrol + CNG,Manual,2nd Owner,"₹5,44,000"
2018,Honda,WR-V,"52,753",Diesel,Manual,1st Owner,
2018,Maruti,Wagon,"35,275",Petrol + CNG,Manual,1st Owner,"₹5,01,000"
2019,Tata,Harrier,"50,011",Diesel,Manual,1st Owner,
2017,Maruti,Wagon,"36,514",Petrol,Manual,1st Owner,"₹4,17,000"
2019,Hyundai,NEW,"7,676",Petrol,Manual,1st Owner,"₹5,26,000"
2019,Maruti,New,"19,720",Petrol,Manual,1st Owner,"₹5,30,000"
2017,Maruti,Wagon,"39,558",Petrol + CNG,Manual,1st Owner,"₹4,65,000"
2018,Maruti,Ciaz,"59,588",Petrol,Manual,1st Owner,"₹7,43,000"
2016,Hyundai,Grand,"53,100",Petrol,Automatic,1st Owner,"₹5,46,000"
2018,Toyota,YARIS,"21,280",Petrol,,1st Owner,
2019,Maruti,Alto,"20,492",Petrol,Manual,1st Owner,"₹4,00,000"
2020,MG,HECTOR,"39,173",Petrol,Automatic,1st Owner,
2021,Volkswagen,Vento,"18,774",Petrol,Automatic,1st Owner,
2016,Maruti,Alto,"61,973",Petrol,Manual,1st Owner,"₹3,16,000"
2020,Maruti,Vitara,"14,473",Petrol,Manual,1st Owner,
2016,Maruti,Ciaz,"66,798",Petrol,Manual,1st Owner,"₹6,23,000"
2017,Maruti,Celerio,"52,013",Petrol + CNG,Manual,1st Owner,"₹4,63,000"
2017,Honda,Jazz,"44,178",Petrol,Manual,1st Owner,"₹5,26,000"
2021,Mahindra,XUV,"29,546",Diesel,Automatic,1st Owner,
2018,Maruti,Ciaz,"43,764",Petrol,Automatic,1st Owner,"₹7,26,000"
2018,Maruti,Alto,"30,913",Petrol + CNG,Manual,1st Owner,"₹3,70,000"
2017,Honda,Jazz,"47,262",Petrol,Automatic,1st Owner,"₹6,47,000"
2017,Maruti,Swift,"7,310",Petrol,Manual,1st Owner,"₹5,97,000"
2013,Hyundai,Grand,"33,223",Petrol,Manual,1st Owner,"₹3,57,000"
2019,Honda,Civic,"38,030",Petrol,Automatic,1st Owner,
2014,Maruti,Wagon,"83,997",Petrol + CNG,Manual,1st Owner,"₹3,69,000"
2016,Maruti,Wagon,"21,930",Petrol,Manual,1st Owner,"₹4,07,000"
2021,Maruti,New,"16,328",Petrol + CNG,Manual,1st Owner,"₹6,87,000"
2016,Hyundai,Creta,"52,905",Petrol,Manual,1st Owner,
2021,Hyundai,NEW,"21,518",Petrol + CNG,Manual,1st Owner,"₹6,59,000"
2021,Tata,NEXON,"8,696",Petrol,Manual,1st Owner,
2014,Maruti,Wagon,"85,561",Petrol + CNG,Manual,1st Owner,"₹3,75,000"
2016,Maruti,Celerio,"57,454",Petrol + CNG,Manual,1st Owner,"₹4,38,000"
2016,Toyota,Corolla,"80,440",Petrol,Manual,1st Owner,
2020,Honda,Amaze,"3,438",Petrol,Automatic,1st Owner,
2018,Maruti,Wagon,"74,342",Petrol + CNG,Manual,1st Owner,"₹4,75,000"
2020,Hyundai,GRAND,"8,193",Petrol,Manual,1st Owner,"₹7,09,000"
2018,Maruti,Ciaz,"26,991",Petrol,Automatic,1st Owner,
2018,Maruti,Celerio,"26,129",Petrol + CNG,Manual,1st Owner,"₹5,18,000"
2017,Maruti,Swift,"23,307",Petrol,Manual,1st Owner,"₹5,47,000"
2020,Maruti,S,"18,982",Petrol + CNG,Manual,1st Owner,"₹5,61,000"
2020,Maruti,Dzire,"12,247",Petrol,Manual,1st Owner,"₹7,37,000"
2019,Maruti,Vitara,"20,198",Diesel,Manual,1st Owner,
2022,Hyundai,GRAND,"5,527",Petrol + CNG,Manual,1st Owner,
2020,Hyundai,Creta,"26,800",Petrol,Automatic,2nd Owner,
2021,Honda,WR-V,"16,054",Diesel,Manual,1st Owner,
2016,Hyundai,Elite,"28,734",Petrol,Manual,2nd Owner,"₹5,49,000"
2018,Toyota,YARIS,"49,310",Petrol,Automatic,1st Owner,
2020,Maruti,New,"47,309",Petrol + CNG,Manual,1st Owner,"₹6,10,000"
2019,Hyundai,VENUE,"14,797",Petrol,Manual,1st Owner,
2019,Maruti,Baleno,"12,854",Petrol,,1st Owner,"₹7,32,000"
2018,Maruti,Celerio,"36,700",Petrol + CNG,Manual,1st Owner,"₹5,34,000"
2019,Maruti,Celerio,"38,428",Petrol + CNG,Manual,2nd Owner,"₹5,43,000"
2018,Maruti,Ciaz,"46,970",Petrol,Automatic,1st Owner,
2017,Honda,Jazz,"83,998",Petrol,Manual,2nd Owner,"₹4,97,000"
2018,Hyundai,Creta,"48,761",Diesel,Automatic,1st Owner,
2016,Maruti,Celerio,"46,100",Petrol,Automatic,1st Owner,"₹4,37,000"
2016,Maruti,Celerio,"41,180",Petrol + CNG,Manual,2nd Owner,"₹4,51,000"
2020,Honda,City,"11,546",Petrol,Automatic,1st Owner,
2021,Maruti,New,"18,952",Petrol + CNG,Manual,1st Owner,"₹6,81,000"
2017,Hyundai,Creta,"45,832",Diesel,Automatic,1st Owner,
2021,Maruti,S,"23,619",Petrol + CNG,Manual,1st Owner,"₹5,19,000"
2019,Hyundai,Verna,"36,418",Petrol,Manual,1st Owner,
2017,Maruti,Swift,"37,414",Petrol,Manual,1st Owner,"₹5,51,000"
2016,Maruti,Celerio,"19,127",Petrol + CNG,Manual,1st Owner,"₹4,80,000"
2016,Maruti,Celerio,"75,189",Petrol + CNG,Manual,1st Owner,"₹4,37,000"
2017,Maruti,Vitara,"74,135",Diesel,Manual,1st Owner,
2016,Maruti,Wagon,"43,617",Petrol,Automatic,2nd Owner,"₹3,71,000"
2019,Hyundai,NEW,"94,051",Petrol + CNG,,1st Owner,"₹5,24,000"
2017,Maruti,Baleno,"44,903",Petrol,Manual,1st Owner,"₹6,27,000"
2018,Maruti,Celerio,"25,621",Petrol + CNG,Manual,1st Owner,"₹5,31,000"
2018,Maruti,Wagon,"82,017",Petrol + CNG,Manual,1st Owner,"₹4,63,000"
2021,Volkswagen,Vento,"8,689",Petrol,Manual,1st Owner,
2018,Maruti,Celerio,"31,954",Petrol + CNG,Manual,1st Owner,"₹5,44,000"
2017,Honda,City,"42,205",Petrol,Manual,1st Owner,
2017,Maruti,Wagon,"44,610",Petrol + CNG,Manual,1st Owner,"₹4,59,000"
2018,Maruti,Wagon,"37,771",Petrol + CNG,Manual,2nd Owner,"₹4,82,000"
2017,Maruti,Celerio,"27,872",Petrol,Automatic,1st Owner,"₹4,92,000"
2016,Maruti,Wagon,"34,441",Petrol,Manual,1st Owner,"₹3,93,000"
2022,Hyundai,GRAND,"1,648",Petrol + CNG,Manual,1st Owner,
2017,Maruti,IGNIS,"25,026",Petrol,Automatic,1st Owner,"₹5,93,000"
2014,Maruti,Celerio,"30,402",Petrol,Manual,1st Owner,"₹4,21,000"
2018,Maruti,Alto,"16,261",Petrol,Manual,1st Owner,"₹3,59,000"
2017,Hyundai,Creta,"39,486",Diesel,Automatic,1st Owner,
2019,Hyundai,GRAND,"33,637",Petrol,Manual,1st Owner,"₹6,71,000"
2017,Hyundai,Elite,"23,804",Petrol,Manual,1st Owner,"₹6,31,000"
2020,Maruti,New,"9,219",Petrol,Manual,1st Owner,"₹6,50,000"
2018,Toyota,YARIS,"36,878",Petrol,Automatic,1st Owner,
2020,Tata,ALTROZ,"32,945",Petrol,Manual,1st Owner,"₹7,28,000"
2019,Maruti,New,"31,204",Petrol + CNG,Manual,1st Owner,"₹5,88,000"
2019,Maruti,Alto,"12,272",Petrol,Manual,1st Owner,"₹3,40,000"
2018,Hyundai,Elite,"39,507",Petrol,Manual,1st Owner,"₹6,29,000"
2019,Maruti,Baleno,"32,286",Petrol,,1st Owner,"₹7,97,000"
2016,Maruti,Baleno,"53,099",Petrol,Manual,1st Owner,"₹5,61,000"
2021,Maruti,Alto,"28,124",Petrol + CNG,Manual,1st Owner,"₹4,94,000"
2016,Maruti,Celerio,"28,285",Petrol,Automatic,2nd Owner,"₹4,14,000"
2018,Honda,Amaze,"19,223",Petrol,Automatic,1st Owner,"₹7,42,000"
2015,Maruti,Wagon,"39,522",Petrol,Manual,1st Owner,"₹3,89,000"
2018,Maruti,Celerio,"7,001",Petrol,Manual,1st Owner,"₹5,12,000"
2017,Maruti,Wagon,"70,418",Petrol,Automatic,1st Owner,"₹4,37,000"
2021,Maruti,Alto,"16,506",Petrol + CNG,Manual,1st Owner,"₹4,88,000"
2018,Hyundai,Eon,"11,944",Petrol,Manual,1st Owner,"₹3,57,000"
2017,Ford,Ecosport,"10,383",Petrol,Automatic,1st Owner,
2018,Honda,Jazz,"43,405",Petrol,Manual,2nd Owner,"₹6,14,000"
2017,Maruti,Baleno,"59,115",Petrol,Manual,1st Owner,"₹5,61,000"
2018,Maruti,Celerio,"86,683",Petrol + CNG,Manual,1st Owner,"₹4,82,000"
2017,Maruti,Wagon,"14,548",Petrol + CNG,Manual,1st Owner,"₹4,54,000"
2017,Maruti,Celerio,"49,965",Petrol + CNG,Manual,1st Owner,"₹4,72,000"
2019,Maruti,New,"34,594",Petrol + CNG,Manual,1st Owner,"₹5,95,000"
2019,Tata,NEXON,"75,084",Diesel,Automatic,1st Owner,
2016,Maruti,Celerio,"94,914",Petrol + CNG,Manual,1st Owner,"₹4,60,000"
2021,Maruti,S,"29,515",Petrol,Manual,1st Owner,
2021,Maruti,New,"15,954",Petrol + CNG,Manual,1st Owner,"₹6,87,000"
2021,Maruti,New,"3,955",Petrol,Manual,2nd Owner,"₹6,39,000"
2017,Maruti,IGNIS,"15,975",Petrol,Automatic,1st Owner,"₹5,86,000"
2018,Maruti,Wagon,"27,720",Petrol + CNG,Manual,1st Owner,"₹5,13,000"
2017,Maruti,Wagon,"50,351",Petrol + CNG,Manual,1st Owner,"₹4,65,000"
2020,Maruti,Baleno,"6,704",Petrol,,1st Owner,
2018,Maruti,Dzire,"9,980",Petrol,Automatic,1st Owner,"₹7,35,000"
2022,Honda,City,"2,738",Petrol,Manual,1st Owner,
2020,Maruti,Dzire,"12,096",Petrol,Automatic,1st Owner,
2018,Tata,NEXON,"58,204",Diesel,Automatic,1st Owner,
2021,Skoda,Rapid,"7,390",Petrol,Automatic,1st Owner,
2021,Maruti,Ciaz,"10,144",Petrol,Automatic,1st Owner,
2018,Hyundai,Verna,"49,399",Petrol,Manual,1st Owner,
2018,Maruti,Ciaz,"16,929",Petrol,Automatic,1st Owner,
2021,Renault,Kiger,"14,326",Petrol,,1st Owner,
2021,Maruti,Baleno,"14,919",Petrol,,1st Owner,
2017,Honda,City,"32,931",Petrol,Manual,1st Owner,
2018,Honda,City,"69,922",Petrol,Automatic,1st Owner,
2022,Maruti,Ciaz,188,Petrol,Manual,1st Owner,
2017,Maruti,Baleno,"26,054",Petrol,Manual,1st Owner,"₹6,25,000"
2019,Maruti,Ciaz,"30,411",Petrol,Manual,1st Owner,
2019,Maruti,Celerio,"52,195",Petrol + CNG,Manual,1st Owner,"₹5,78,000"
2015,Maruti,Ciaz,"60,613",Petrol,Manual,1st Owner,"₹6,09,000"
2020,Maruti,Baleno,"12,537",Petrol,,1st Owner,
2017,Maruti,Swift,"14,442",Petrol,Manual,1st Owner,"₹5,77,000"
2018,Maruti,Celerio,"28,738",Petrol + CNG,Manual,1st Owner,"₹5,31,000"
2015,Honda,Jazz,"70,039",Petrol,Automatic,1st Owner,"₹5,22,000"
2019,Toyota,YARIS,"11,159",Petrol,Automatic,2nd Owner,
2020,Tata,ALTROZ,"34,503",Petrol,Manual,1st Owner,"₹7,40,000"
2021,Maruti,S,"4,228",Petrol + CNG,Manual,1st Owner,"₹5,86,000"
2020,Tata,ALTROZ,"27,911",Petrol,Manual,1st Owner,"₹7,74,000"
2020,Skoda,Rapid,"27,915",Petrol,Automatic,1st Owner,
2018,Maruti,Ciaz,"20,314",Petrol,Automatic,1st Owner,
2021,Toyota,Glanza,"14,927",Petrol,Manual,1st Owner,
2018,Toyota,YARIS,"79,351",Petrol,Automatic,1st Owner,
2018,Maruti,Celerio,"30,264",Petrol + CNG,Manual,1st Owner,"₹5,31,000"
2022,Maruti,Ciaz,188,Petrol,Manual,1st Owner,
2020,KIA,SELTOS,"22,197",Petrol,Automatic,1st Owner,
2020,Honda,City,"9,345",Petrol,Automatic,1st Owner,
2020,Tata,ALTROZ,"20,396",Petrol,Manual,1st Owner,
2019,Maruti,Celerio,"38,604",Petrol + CNG,Manual,1st Owner,"₹5,57,000"
2017,Maruti,IGNIS,"31,129",Petrol,Manual,1st Owner,"₹4,97,000"
2019,Hyundai,Creta,"20,004",Petrol,Automatic,1st Owner,
2020,Tata,ALTROZ,"10,453",Petrol,Manual,1st Owner,
2021,Maruti,Ciaz,"9,424",Petrol,Manual,1st Owner,
2021,Toyota,YARIS,"16,781",Petrol,Automatic,1st Owner,
2013,BMW,5,"95,257",Diesel,Automatic,2nd Owner,
2013,Volkswagen,Vento,"25,304",Petrol,Manual,1st Owner,"₹3,58,000"
2017,Ford,Endeavour,"39,389",Diesel,Automatic,1st Owner,
2013,Volkswagen,Polo,"39,227",Petrol,Manual,2nd Owner,"₹3,74,000"
2017,Datsun,Redi,"43,034",Petrol + CNG,Manual,1st Owner,"₹2,57,000"
2017,Tata,Tiago,"29,196",Petrol,Automatic,1st Owner,"₹4,81,000"
2019,Maruti,Vitara,"30,047",Diesel,Automatic,2nd Owner,"₹7,93,000"
